"","ladcode21","laname21","agg_X2011","agg_X2021","Change_2011to2021","Perc_Cat"
"1","E06000001","Hartlepool",12000,11714,-2.38333333333333," -5.0 -"
"2","E06000002","Middlesbrough",19469,20680,6.22014484565206,"  5.0 -"
"3","E06000003","Redcar and Cleveland",16138,16240,0.63204858098897," -5.0 -"
"4","E06000004","Stockton-on-Tees",25552,25706,0.602692548528491," -5.0 -"
"5","E06000005","Darlington",13818,13111,-5.11651469098278,"-10.0 -"
"6","E06000006","Halton",17207,16366,-4.88754576625792," -5.0 -"
"7","E06000007","Warrington",26280,25434,-3.21917808219178," -5.0 -"
"8","E06000008","Blackburn with Darwen",23733,23537,-0.8258542957064," -5.0 -"
"9","E06000009","Blackpool",17159,16703,-2.65749752316569," -5.0 -"
"10","E06000010","Kingston upon Hull, City of",34102,36508,7.05530467421266,"  5.0 -"
"11","E06000011","East Riding of Yorkshire",36505,35710,-2.17778386522394," -5.0 -"
"12","E06000012","North East Lincolnshire",20739,19845,-4.31071893533922," -5.0 -"
"13","E06000013","North Lincolnshire",21512,20038,-6.85198958720714,"-10.0 -"
"14","E06000014","York",21931,20542,-6.33350052437189,"-10.0 -"
"15","E06000015","Derby",35751,35382,-1.03213896114794," -5.0 -"
"16","E06000016","Leicester",49122,51939,5.73470135580799,"  5.0 -"
"17","E06000017","Rutland",4087,4015,-1.76168338634695," -5.0 -"
"18","E06000018","Nottingham",39641,40861,3.07762165434777," -5.0 -"
"19","E06000019","Herefordshire, County of",20601,19928,-3.26683170719868," -5.0 -"
"20","E06000020","Telford and Wrekin",23459,24810,5.7589837588985,"  5.0 -"
"21","E06000021","Stoke-on-Trent",34162,35928,5.1694865640185,"  5.0 -"
"22","E06000022","Bath and North East Somerset",19786,21170,6.99484483978571,"  5.0 -"
"23","E06000023","Bristol, City of",56816,57623,1.42037454238243," -5.0 -"
"24","E06000024","North Somerset",25016,25451,1.73888711224816," -5.0 -"
"25","E06000025","South Gloucestershire",33738,36524,8.25775090402514,"  5.0 -"
"26","E06000026","Plymouth",30899,31319,1.35926729020357," -5.0 -"
"27","E06000027","Torbay",14295,14782,3.40678558936691," -5.0 -"
"28","E06000030","Swindon",28824,31780,10.255342769914," 10.0 -"
"29","E06000031","Peterborough",27754,33062,19.1251711465014," 10.0 -"
"30","E06000032","Luton",33584,35900,6.89614101953311,"  5.0 -"
"31","E06000033","Southend-on-Sea",22798,23134,1.47381349241162," -5.0 -"
"32","E06000034","Thurrock",24245,27353,12.8191379665911," 10.0 -"
"33","E06000035","Medway",36553,39316,7.55888709545044,"  5.0 -"
"34","E06000036","Bracknell Forest",16123,16510,2.40029771134404," -5.0 -"
"35","E06000037","West Berkshire",20970,19928,-4.96900333810205," -5.0 -"
"36","E06000038","Reading",22145,22662,2.33461277940844," -5.0 -"
"37","E06000039","Slough",24786,26920,8.60969902364238,"  5.0 -"
"38","E06000040","Windsor and Maidenhead",19732,19088,-3.26373403608352," -5.0 -"
"39","E06000041","Wokingham",21616,24549,13.5686528497409," 10.0 -"
"40","E06000042","Milton Keynes",39781,42151,5.95761795832181,"  5.0 -"
"41","E06000043","Brighton and Hove",31076,27394,-11.8483717338139,"-20.0 -"
