inner_outer,age_common,cob_common,value_21,value_11,value_01
Inner,Aged 0 to 15,Africa,5271,12750,21854
Inner,Aged 0 to 15,"Antarctica, Oceania, and Other",875,1169,1947
Inner,Aged 0 to 15,Ireland,585,817,1094
Inner,Aged 0 to 15,Middle East and Asia,14527,16747,18159
Inner,Aged 0 to 15,Rest of Europe,34999,30553,16784
Inner,Aged 0 to 15,The Americas and the Caribbean,9037,11048,10483
Inner,Aged 0 to 15,United Kingdom,518554,521964,468497
Outer,Aged 0 to 15,Africa,10300,20200,20665
Outer,Aged 0 to 15,"Antarctica, Oceania, and Other",1416,1584,2418
Outer,Aged 0 to 15,Ireland,1672,1385,1784
Outer,Aged 0 to 15,Middle East and Asia,46566,40078,25560
Outer,Aged 0 to 15,Rest of Europe,60506,48318,15629
Outer,Aged 0 to 15,The Americas and the Caribbean,8930,9130,7370
Outer,Aged 0 to 15,United Kingdom,982488,909025,835986
