inner_outer,hhcomp_common,eth_common,value_21,value_11,value_01
Inner,Household has dependent children,Asian: Bangladeshi,35008,25962,20850
Inner,Household has dependent children,Asian: Chinese,5564,4634,3960
Inner,Household has dependent children,Asian: Indian,12206,11147,10789
Inner,Household has dependent children,Asian: Other,12505,13430,5480
Inner,Household has dependent children,Asian: Pakistani,9185,8038,6249
Inner,Household has dependent children,Black: African,49734,51343,41063
Inner,Household has dependent children,Black: Caribbean,22824,28767,32856
Inner,Household has dependent children,Black: Other,5488,10678,5045
Inner,Household has dependent children,Mixed: Other,6334,4741,2932
Inner,Household has dependent children,Mixed: White and Asian,2621,2549,2020
Inner,Household has dependent children,Mixed: White and Black African,2925,3515,2354
Inner,Household has dependent children,Mixed: White and Black Caribbean,5922,5729,3478
Inner,Household has dependent children,Other,30680,18561,7647
Inner,Household has dependent children,White: British,94445,109054,125370
Inner,Household has dependent children,White: Irish,5144,5726,8788
Inner,Household has dependent children,White: Other,65904,58153,36066
Outer,Household has dependent children,Asian: Bangladeshi,18181,9476,4240
Outer,Household has dependent children,Asian: Chinese,9603,6818,5776
Outer,Household has dependent children,Asian: Indian,73615,55706,52774
Outer,Household has dependent children,Asian: Other,43341,43208,15394
Outer,Household has dependent children,Asian: Pakistani,33966,25083,15723
Outer,Household has dependent children,Black: African,67892,57303,28085
Outer,Household has dependent children,Black: Caribbean,26839,30590,28992
Outer,Household has dependent children,Black: Other,6841,11266,3634
Outer,Household has dependent children,Mixed: Other,8633,5415,3030
Outer,Household has dependent children,Mixed: White and Asian,4510,4499,2969
Outer,Household has dependent children,Mixed: White and Black African,4169,3658,1964
Outer,Household has dependent children,Mixed: White and Black Caribbean,7457,6448,2925
Outer,Household has dependent children,Other,50899,22834,9943
Outer,Household has dependent children,White: British,226299,279481,331217
Outer,Household has dependent children,White: Irish,9436,10876,15248
Outer,Household has dependent children,White: Other,112944,75155,36022
