"","Year","age_mother","SUM_births","SUM_pop","EandW_ASFR","EandW_ASFR_perK"
"1","1993","17",40019,1279705,0.0312720509804994,31.2720509804994
"2","1993","20",19456,289298,0.0672524524884375,67.2524524884375
"3","1993","21",22863,306525,0.0745877171519452,74.5877171519452
"4","1993","22",26916,319299,0.0842971634737346,84.2971634737346
"5","1993","23",29584,312726,0.0946003850015669,94.6003850015669
"6","1993","24",33521,323238,0.103703772452496,103.703772452496
"7","1993","25",36406,323993,0.112366625204866,112.366625204866
"8","1993","26",39678,332646,0.119279955267762,119.279955267762
"9","1993","27",41316,339272,0.121778396095168,121.778396095168
"10","1993","28",42209,345199,0.12227439824565,122.27439824565
"11","1993","29",40917,346003,0.118256200090751,118.256200090751
"12","1993","30",37621,341422,0.11018915008406,110.18915008406
"13","1993","31",33090,337025,0.0981826274015281,98.1826274015281
"14","1993","32",28063,329492,0.0851705048984497,85.1705048984497
"15","1993","33",22998,316874,0.072577743835089,72.577743835089
"16","1993","34",18939,313456,0.0604199632484304,60.4199632484304
"17","1993","35",15222,309079,0.0492495446148072,49.2495446148072
"18","1993","36",11785,300932,0.0391616710751931,39.1616710751931
"19","1993","37",8834,291427,0.0303129085499971,30.3129085499971
"20","1993","38",6359,285004,0.0223119675513326,22.3119675513326
"21","1993","39",4615,290918,0.0158635766779642,15.8635766779642
"22","1993","42",8234,1484684,0.00554596129546759,5.54596129546759
"23","1994","17",37118,1267104,0.0292935702199662,29.2935702199662
"24","1994","20",17699,268804,0.0658435142334192,65.8435142334192
"25","1994","21",20507,287987,0.071208075364513,71.208075364513
"26","1994","22",24350,304519,0.0799621698481868,79.9621698481868
"27","1994","23",28398,318114,0.0892698843810709,89.2698843810709
"28","1994","24",31025,313017,0.0991160224524547,99.1160224524547
"29","1994","25",35005,323969,0.108050461618241,108.050461618241
"30","1994","26",37783,325565,0.116053629843503,116.053629843503
"31","1994","27",40199,334682,0.120111030769507,120.111030769507
"32","1994","28",40769,341571,0.119357322489321,119.357322489321
"33","1994","29",40882,347927,0.117501659830942,117.501659830942
"34","1994","30",38620,348375,0.110857552924291,110.857552924291
"35","1994","31",34569,343713,0.100575189183999,100.575189183999
"36","1994","32",29849,338307,0.0882305125226495,88.2305125226495
"37","1994","33",24273,330813,0.0733737791441086,73.3737791441086
"38","1994","34",20018,318017,0.0629463204797228,62.9463204797228
"39","1994","35",16156,314138,0.0514296264698954,51.4296264698954
"40","1994","36",12680,310463,0.0408422259657351,40.8422259657351
"41","1994","37",9545,302011,0.0316048090963574,31.6048090963574
"42","1994","38",6793,292383,0.0232332249138972,23.2332249138972
"43","1994","39",4906,286162,0.0171441351402353,17.1441351402353
"44","1994","42",8240,1463730,0.00562945351943323,5.62945351943323
"45","1995","17",37040,1275342,0.0290431899835495,29.0431899835495
"46","1995","20",16553,258093,0.0641357960115152,64.1357960115152
"47","1995","21",19078,268753,0.0709871145624421,70.9871145624421
"48","1995","22",22222,288136,0.0771233028847489,77.1233028847489
"49","1995","23",25634,306021,0.0837654932177857,83.7654932177857
"50","1995","24",29760,319219,0.0932275334488235,93.2275334488235
"51","1995","25",32440,313914,0.103340405333945,103.340405333945
"52","1995","26",35867,325065,0.110337932413517,110.337932413517
"53","1995","27",37883,327062,0.1158281915967,115.8281915967
"54","1995","28",38792,336945,0.115128581816023,115.128581816023
"55","1995","29",39361,343750,0.114504727272727,114.504727272727
"56","1995","30",38061,348625,0.109174614557189,109.174614557189
"57","1995","31",34365,348793,0.0985254864633178,98.5254864633178
"58","1995","32",30146,344302,0.0875568541571063,87.5568541571063
"59","1995","33",25072,338803,0.0740017060061452,74.0017060061452
"60","1995","34",20862,331024,0.0630226207163227,63.0226207163227
"61","1995","35",16495,317923,0.0518836322002497,51.8836322002497
"62","1995","36",12971,314468,0.0412474401210934,41.2474401210934
"63","1995","37",9927,310773,0.0319429294050641,31.9429294050641
"64","1995","38",7204,302129,0.0238441195648216,23.8441195648216
"65","1995","39",5207,292668,0.017791490699359,17.791490699359
"66","1995","42",8663,1447135,0.0059863108832279,5.98631088322789
"67","1996","17",39457,1294695,0.0304759035911933,30.4759035911933
