"","year","age_Cat","SUM_pop","SUM_births","ASFR"
"1",1993,"15 - 19",179150,5078,28.3449623220765
"2",1993,"20 - 24",291508,19543,67.0410417552863
"3",1993,"25 - 29",375748,35295,93.9326357026518
"4",1993,"30 - 34",317977,30220,95.0383203816628
"5",1993,"35 - 39",246384,11951,48.5055847782324
"6",1993,"40 - 44",219867,2278,10.3608090345527
"7",1994,"15 - 19",186956,4895,26.1826312073429
"8",1994,"20 - 24",281830,18205,64.595678245751
"9",1994,"25 - 29",367555,34327,93.3928255635211
"10",1994,"30 - 34",328740,32110,97.6759749345988
"11",1994,"35 - 39",254871,12917,50.6805403517858
"12",1994,"40 - 44",219616,2482,11.3015445140609
"13",1995,"15 - 19",198486,4881,24.5911550436807
"14",1995,"20 - 24",271767,17439,64.1689388336332
"15",1995,"25 - 29",358159,32951,92.0010386448477
"16",1995,"30 - 34",339460,32561,95.9199905732634
"17",1995,"35 - 39",264515,13661,51.6454643403966
"18",1995,"40 - 44",220588,2636,11.9498794132047
"19",1996,"15 - 19",206745,5196,25.1324094899514
"20",1996,"20 - 24",266598,17081,64.0702480888829
"21",1996,"25 - 29",350232,31738,90.6199319308344
"22",1996,"30 - 34",348481,34014,97.6064692192688
"23",1996,"35 - 39",275875,14587,52.8753964657907
"24",1996,"40 - 44",224811,2769,12.317012957551
"25",1997,"15 - 19",213456,5443,25.4994003448017
"26",1997,"20 - 24",262058,16846,64.2834792297888
"27",1997,"25 - 29",338687,30683,90.5939702439125
"28",1997,"30 - 34",354864,33908,95.5520988322287
"29",1997,"35 - 39",286740,15707,54.7778475273767
"30",1997,"40 - 44",230454,2991,12.9787289437371
"31",1998,"15 - 19",211926,5512,26.0090786406576
"32",1998,"20 - 24",266495,16249,60.9730013696317
"33",1998,"25 - 29",329648,29328,88.9676260738727
"34",1998,"30 - 34",356466,34663,97.2406905567431
"35",1998,"35 - 39",299258,16441,54.9392163283855
"36",1998,"40 - 44",237145,3101,13.0763878639651
"37",1999,"15 - 19",203868,5656,27.7434418349128
"38",1999,"20 - 24",277034,16280,58.7653501014316
"39",1999,"25 - 29",343944,28354,82.4378387179308
"40",1999,"30 - 34",355995,34615,97.2345117206702
"41",1999,"35 - 39",308168,17255,55.9921860803198
"42",1999,"40 - 44",243930,3380,13.8564342229328
"43",2000,"15 - 19",202289,5470,27.0405212344715
"44",2000,"20 - 24",275642,16155,58.6086300346101
"45",2000,"25 - 29",355053,27331,76.9772400176875
"46",2000,"30 - 34",355822,33648,94.5641360005846
"47",2000,"35 - 39",318699,18399,57.7315899955758
"48",2000,"40 - 44",252961,3678,14.5397907187274
"49",2001,"15 - 19",205197,5309,25.8726979439271
