"","Year","age_mother","Inner","SUM_births","SUM_pop","Inner_factor","London_zone_ASFR","London_zone_ASFR_perK"
"1","1993","17",0,2686,115053,"Outer",0.0233457623877691,23.3457623877691
"2","1993","17",1,2392,64097,"Inner",0.0373184392405261,37.3184392405261
"3","1993","20",0,1450,28888,"Outer",0.0501938521185267,50.1938521185267
"4","1993","20",1,1284,17796,"Inner",0.0721510451786918,72.1510451786918
"5","1993","21",0,1738,29717,"Outer",0.0584850422317192,58.4850422317192
"6","1993","21",1,1433,22457,"Inner",0.063810838491339,63.810838491339
"7","1993","22",0,2171,32532,"Outer",0.0667342923890323,66.7342923890323
"8","1993","22",1,1743,27256,"Inner",0.0639492221896096,63.9492221896096
"9","1993","23",0,2530,34143,"Outer",0.0741001083677474,74.1001083677474
"10","1993","23",1,1939,29672,"Inner",0.0653478026422216,65.3478026422216
"11","1993","24",0,3130,36896,"Outer",0.0848330442324371,84.8330442324371
"12","1993","24",1,2125,32151,"Inner",0.0660943672047526,66.0943672047526
"13","1993","25",0,3629,38735,"Outer",0.0936878791790371,93.6878791790371
"14","1993","25",1,2282,33948,"Inner",0.0672204548132438,67.2204548132438
"15","1993","26",0,4114,40755,"Outer",0.100944669365722,100.944669365722
"16","1993","26",1,2577,34965,"Inner",0.0737022737022737,73.7022737022737
"17","1993","27",0,4485,41442,"Outer",0.108223541334878,108.223541334878
"18","1993","27",1,2796,35072,"Inner",0.0797217153284672,79.7217153284672
"19","1993","28",0,4786,41339,"Outer",0.115774450276978,115.774450276978
"20","1993","28",1,2964,35189,"Inner",0.0842308676006707,84.2308676006707
"21","1993","29",0,4764,40836,"Outer",0.116661769027329,116.661769027329
"22","1993","29",1,2898,33467,"Inner",0.0865927630202886,86.5927630202886
"23","1993","30",0,4587,39779,"Outer",0.115312099348903,115.312099348903
"24","1993","30",1,2950,31810,"Inner",0.0927381326626847,92.7381326626847
"25","1993","31",0,4138,37766,"Outer",0.109569454006249,109.569454006249
"26","1993","31",1,2755,28685,"Inner",0.0960432281680321,96.0432281680321
"27","1993","32",0,3639,36560,"Outer",0.099535010940919,99.535010940919
"28","1993","32",1,2401,26992,"Inner",0.0889522821576764,88.9522821576764
"29","1993","33",0,3091,34582,"Outer",0.089381759296744,89.381759296744
"30","1993","33",1,2175,25092,"Inner",0.0866810138689622,86.6810138689622
"31","1993","34",0,2685,33883,"Outer",0.0792432783401706,79.2432783401706
"32","1993","34",1,1799,22828,"Inner",0.0788067285789381,78.8067285789381
"33","1993","35",0,2151,32534,"Outer",0.0661154484539251,66.1154484539251
"34","1993","35",1,1494,21468,"Inner",0.0695919508105087,69.5919508105087
"35","1993","36",0,1762,31336,"Outer",0.0562292570845034,56.2292570845034
"36","1993","36",1,1287,20219,"Inner",0.063652999653791,63.652999653791
"37","1993","37",0,1265,30244,"Outer",0.0418264779791033,41.8264779791033
"38","1993","37",1,1028,18618,"Inner",0.0552153829627242,55.2153829627242
"39","1993","38",0,902,29011,"Outer",0.0310916548895247,31.0916548895247
"40","1993","38",1,742,17242,"Inner",0.0430344507597726,43.0344507597726
"41","1993","39",0,717,28884,"Outer",0.0248234316576651,24.8234316576651
"42","1993","39",1,603,16828,"Inner",0.0358331352507725,35.8331352507725
"43","1993","42",0,1217,141898,"Outer",0.00857658317946694,8.57658317946694
"44","1993","42",1,1061,77969,"Inner",0.0136079723992869,13.6079723992869
"45","1994","17",0,2548,116238,"Outer",0.0219205423355529,21.9205423355529
"46","1994","17",1,2347,70718,"Inner",0.0331881557736361,33.1881557736361
"47","1994","20",0,1350,25347,"Outer",0.0532607409160847,53.2607409160847
"48","1994","20",1,1255,20616,"Inner",0.0608750485060147,60.8750485060147
"49","1994","21",0,1667,28532,"Outer",0.0584256273657648,58.4256273657648
"50","1994","21",1,1377,21579,"Inner",0.0638120394828305,63.8120394828305
"51","1994","22",0,2033,31803,"Outer",0.0639247869697827,63.9247869697827
"52","1994","22",1,1540,25065,"Inner",0.0614402553361261,61.4402553361261
"53","1994","23",0,2404,35299,"Outer",0.0681039122921329,68.1039122921329
"54","1994","23",1,1798,28115,"Inner",0.0639516272452428,63.9516272452428
"55","1994","24",0,2865,36229,"Outer",0.0790802947914654,79.0802947914654
"56","1994","24",1,1916,29245,"Inner",0.0655154727303813,65.5154727303813
"57","1994","25",0,3350,38579,"Outer",0.0868348065009461,86.8348065009461
"58","1994","25",1,2232,31384,"Inner",0.0711190415498343,71.1190415498343
"59","1994","26",0,3737,39403,"Outer",0.0948404943786006,94.8404943786006
"60","1994","26",1,2543,33503,"Inner",0.0759036504193654,75.9036504193654
"61","1994","27",0,4309,41100,"Outer",0.104841849148418,104.841849148418
"62","1994","27",1,2647,34375,"Inner",0.0770036363636364,77.0036363636364
"63","1994","28",0,4741,41258,"Outer",0.114911047554414,114.911047554414
"64","1994","28",1,2922,33757,"Inner",0.0865598246289658,86.5598246289658
"65","1994","29",0,4776,41214,"Outer",0.115882952394817,115.882952394817
"66","1994","29",1,3070,32982,"Inner",0.0930810745254988,93.0810745254987
"67","1994","30",0,4720,40469,"Outer",0.11663248412365,116.63248412365
"68","1994","30",1,3150,31410,"Inner",0.100286532951289,100.286532951289
"69","1994","31",0,4446,39374,"Outer",0.112917153451516,112.917153451516
"70","1994","31",1,2858,30278,"Inner",0.0943919677653742,94.3919677653742
"71","1994","32",0,3873,37579,"Outer",0.103062880864313,103.062880864313
"72","1994","32",1,2476,27988,"Inner",0.0884664856367014,88.4664856367014
"73","1994","33",0,3355,36304,"Outer",0.0924140590568532,92.4140590568532
"74","1994","33",1,2311,26337,"Inner",0.0877472756957892,87.7472756957892
"75","1994","34",0,2897,34521,"Outer",0.0839199327945309,83.9199327945309
"76","1994","34",1,2024,24480,"Inner",0.0826797385620915,82.6797385620915
"77","1994","35",0,2412,33819,"Outer",0.0713208551406014,71.3208551406014
"78","1994","35",1,1614,22220,"Inner",0.0726372637263726,72.6372637263726
"79","1994","36",0,1890,32315,"Outer",0.0584867708494507,58.4867708494507
"80","1994","36",1,1334,21074,"Inner",0.0633007497390149,63.3007497390149
"81","1994","37",0,1368,31229,"Outer",0.0438054372538346,43.8054372538346
"82","1994","37",1,1030,19743,"Inner",0.0521703895051411,52.1703895051411
"83","1994","38",0,1011,30208,"Outer",0.0334679555084746,33.4679555084746
"84","1994","38",1,847,18297,"Inner",0.0462917418155982,46.2917418155982
"85","1994","39",0,769,28894,"Outer",0.0266145220460995,26.6145220460995
"86","1994","39",1,642,17072,"Inner",0.0376054358013121,37.6054358013121
"87","1994","42",0,1303,140961,"Outer",0.00924369151751194,9.24369151751194
"88","1994","42",1,1179,78655,"Inner",0.0149895111563156,14.9895111563156
"89","1995","17",0,2487,122693,"Outer",0.0202701050589683,20.2701050589683
"90","1995","17",1,2394,75793,"Inner",0.031586030372198,31.586030372198
"91","1995","20",0,1286,25445,"Outer",0.050540381214384,50.540381214384
"92","1995","20",1,1210,20631,"Inner",0.0586496049634046,58.6496049634046
"93","1995","21",0,1578,26680,"Outer",0.0591454272863568,59.1454272863568
"94","1995","21",1,1457,22104,"Inner",0.0659156713716974,65.9156713716974
"95","1995","22",0,1847,29939,"Outer",0.0616921072848125,61.6921072848125
"96","1995","22",1,1572,23397,"Inner",0.0671881010385947,67.1881010385947
"97","1995","23",0,2227,32939,"Outer",0.0676098242205289,67.6098242205289
"98","1995","23",1,1765,26366,"Inner",0.0669422741409391,66.9422741409391
"99","1995","24",0,2572,35552,"Outer",0.0723447344734473,72.3447344734473
"100","1995","24",1,1925,28714,"Inner",0.0670404680643588,67.0404680643588
"101","1995","25",0,3140,36931,"Outer",0.0850234220573502,85.0234220573502
"102","1995","25",1,2075,29908,"Inner",0.0693794302527752,69.3794302527752
"103","1995","26",0,3715,38815,"Outer",0.0957104212289064,95.7104212289064
"104","1995","26",1,2401,31840,"Inner",0.0754082914572864,75.4082914572864
"105","1995","27",0,4091,39635,"Outer",0.103216853790841,103.216853790841
"106","1995","27",1,2506,33533,"Inner",0.0747323532043062,74.7323532043062
"107","1995","28",0,4495,40798,"Outer",0.110176969459287,110.176969459287
"108","1995","28",1,2796,33456,"Inner",0.0835724533715925,83.5724533715925
"109","1995","29",0,4743,41009,"Outer",0.11565753858909,115.65753858909
"110","1995","29",1,2989,32234,"Inner",0.0927281752187132,92.7281752187132
"111","1995","30",0,4789,41237,"Outer",0.116133569367316,116.133569367316
"112","1995","30",1,3032,32035,"Inner",0.0946464804120493,94.6464804120493
"113","1995","31",0,4437,40326,"Outer",0.110028269602738,110.028269602738
"114","1995","31",1,2886,30644,"Inner",0.0941783057042162,94.1783057042162
"115","1995","32",0,4024,39156,"Outer",0.102768413525386,102.768413525386
"116","1995","32",1,2626,29533,"Inner",0.0889174821386246,88.9174821386246
"117","1995","33",0,3440,37361,"Outer",0.0920746232702551,92.0746232702551
"118","1995","33",1,2394,27257,"Inner",0.0878306490075944,87.8306490075944
"119","1995","34",0,2848,36238,"Outer",0.0785915337491031,78.5915337491031
"120","1995","34",1,2085,25673,"Inner",0.0812137264830756,81.2137264830756
"121","1995","35",0,2461,34390,"Outer",0.0715615004361733,71.5615004361733
"122","1995","35",1,1829,23722,"Inner",0.0771014248377034,77.1014248377034
"123","1995","36",0,1864,33526,"Outer",0.0555986398615999,55.5986398615999
"124","1995","36",1,1443,21733,"Inner",0.0663967238761331,66.3967238761331
"125","1995","37",0,1514,32080,"Outer",0.0471945137157107,47.1945137157107
"126","1995","37",1,1144,20552,"Inner",0.0556636823666796,55.6636823666796
"127","1995","38",0,1121,31110,"Outer",0.0360334297653488,36.0334297653488
"128","1995","38",1,822,19303,"Inner",0.042584054292079,42.584054292079
"129","1995","39",0,783,30036,"Outer",0.0260687175389533,26.0687175389533
"130","1995","39",1,680,18063,"Inner",0.0376460167192604,37.6460167192604
"131","1995","42",0,1410,141047,"Outer",0.00999666777740753,9.99666777740753
"132","1995","42",1,1226,79541,"Inner",0.015413434580908,15.413434580908
"133","1996","17",0,2733,127428,"Outer",0.0214474055937471,21.4474055937471
"134","1996","17",1,2463,79317,"Inner",0.031052611672151,31.052611672151
"135","1996","20",0,1310,27415,"Outer",0.0477840598212657,47.7840598212657
"136","1996","20",1,1317,22259,"Inner",0.0591670784851071,59.1670784851071
"137","1996","21",0,1567,26587,"Outer",0.0589385790047768,58.9385790047768
"138","1996","21",1,1373,21630,"Inner",0.0634766527970411,63.4766527970411
"139","1996","22",0,1795,28214,"Outer",0.0636208974268094,63.6208974268094
"140","1996","22",1,1565,23287,"Inner",0.0672048782582557,67.2048782582557
"141","1996","23",0,2141,31454,"Outer",0.0680676543523876,68.0676543523876
"142","1996","23",1,1686,24638,"Inner",0.0684308791297995,68.4308791297995
"143","1996","24",0,2468,33766,"Outer",0.0730912752472902,73.0912752472902
"144","1996","24",1,1859,27348,"Inner",0.0679757203451806,67.9757203451806
"145","1996","25",0,3070,36520,"Outer",0.0840635268346112,84.0635268346112
"146","1996","25",1,2088,29536,"Inner",0.0706933911159263,70.6933911159263
"147","1996","26",0,3377,37277,"Outer",0.0905920540816053,90.5920540816053
"148","1996","26",1,2318,30316,"Inner",0.0764612745744821,76.4612745744821
"149","1996","27",0,3926,39067,"Outer",0.10049402308854,100.49402308854
"150","1996","27",1,2538,32009,"Inner",0.0792901996313537,79.2901996313537
"151","1996","28",0,4239,39536,"Outer",0.107218737353298,107.218737353298
"152","1996","28",1,2700,33012,"Inner",0.0817884405670665,81.7884405670665
"153","1996","29",0,4636,40684,"Outer",0.113951430537804,113.951430537804
"154","1996","29",1,2846,32275,"Inner",0.0881797056545314,88.1797056545314
"155","1996","30",0,4730,41241,"Outer",0.114691690308188,114.691690308188
