"","year","Inner_factor","SUM_births"
"1",1993,"Inner",42728
"2",1993,"Outer",61637
"3",1994,"Inner",43112
"4",1994,"Outer",61824
"5",1995,"Inner",43257
"6",1995,"Outer",60872
"7",1996,"Inner",43984
"8",1996,"Outer",61401
"9",1997,"Inner",44290
"10",1997,"Outer",61288
"11",1998,"Inner",43714
"12",1998,"Outer",61580
"13",1999,"Inner",44856
"14",1999,"Outer",60684
"15",2000,"Inner",44986
"16",2000,"Outer",59695
"17",2001,"Inner",45095
"18",2001,"Outer",59069
"19",2002,"Inner",45754
"20",2002,"Outer",59850
"21",2003,"Inner",47861
"22",2003,"Outer",62576
"23",2004,"Inner",48605
"24",2004,"Outer",65073
"25",2005,"Inner",49542
"26",2005,"Outer",66480
"27",2006,"Inner",51393
"28",2006,"Outer",69505
"29",2007,"Inner",52201
"30",2007,"Outer",73307
"31",2008,"Inner",52746
"32",2008,"Outer",74907
"33",2009,"Inner",53209
"34",2009,"Outer",76040
"35",2010,"Inner",54615
"36",2010,"Outer",78497
"37",2011,"Inner",53909
"38",2011,"Outer",78936
"39",2012,"Inner",53958
"40",2012,"Outer",80230
