"","X","Year","gss_code","gss_name","BoroughName","Inner_factor","year_numeric","year_factor","lastSMA","SMA_Cat"
"1",926,2021,"E09000002","Barking and Dagenham","Barking and Dagenham","Outer",2021,"2021",30.3497376040783,"30.0 -"
"2",927,2021,"E09000003","Barnet","Barnet","Outer",2021,"2021",32.1770498177878,"32.1 -"
"3",928,2021,"E09000004","Bexley","Bexley","Outer",2021,"2021",31.4464828835092,"31.4 -"
"4",929,2021,"E09000005","Brent","Brent","Outer",2021,"2021",31.4707357817944,"31.4 -"
"5",930,2021,"E09000006","Bromley","Bromley","Outer",2021,"2021",32.4541769762996,"32.1 -"
"6",931,2021,"E09000007","Camden","Camden","Inner",2021,"2021",34.1893381632856,"34.0+"
"7",932,2021,"E09000008","Croydon","Croydon","Outer",2021,"2021",31.4244679648693,"31.4 -"
"8",933,2021,"E09000009","Ealing","Ealing","Outer",2021,"2021",32.1582712123619,"32.1 -"
"9",934,2021,"E09000010","Enfield","Enfield","Outer",2021,"2021",31.0544923523217,"30.0 -"
"10",935,2021,"E09000011","Greenwich","Greenwich","Outer",2021,"2021",32.0950505466471,"31.4 -"
"11",936,2021,"E09000012","Hackney","Hackney","Inner",2021,"2021",31.8088550833167,"31.4 -"
"12",937,2021,"E09000013","Hammersmith and Fulham","Hammersmith and Fulham","Inner",2021,"2021",34.2631248061236,"34.0+"
"13",938,2021,"E09000014","Haringey","Haringey","Inner",2021,"2021",32.0533404097148,"31.4 -"
"14",939,2021,"E09000015","Harrow","Harrow","Outer",2021,"2021",30.9539694196922,"30.0 -"
"15",940,2021,"E09000016","Havering","Havering","Outer",2021,"2021",31.262188299784,"30.0 -"
"16",941,2021,"E09000017","Hillingdon","Hillingdon","Outer",2021,"2021",31.3388517303089,"30.0 -"
"17",942,2021,"E09000018","Hounslow","Hounslow","Outer",2021,"2021",31.3394714452924,"30.0 -"
"18",943,2021,"E09000019","Islington","Islington","Inner",2021,"2021",34.2320867611181,"34.0+"
"19",944,2021,"E09000020","Kensington and Chelsea","Kensington and Chelsea","Inner",2021,"2021",34.7061720408647,"34.0+"
"20",945,2021,"E09000021","Kingston upon Thames","Kingston upon Thames","Outer",2021,"2021",33.2380844090828,"32.1 -"
"21",946,2021,"E09000022","Lambeth","Lambeth","Inner",2021,"2021",33.7844278936029,"32.1 -"
"22",947,2021,"E09000023","Lewisham","Lewisham","Inner",2021,"2021",32.5089914632073,"32.1 -"
"23",948,2021,"E09000024","Merton","Merton","Outer",2021,"2021",32.858872693154,"32.1 -"
"24",949,2021,"E09000025","Newham","Newham","Inner",2021,"2021",31.3002190913517,"30.0 -"
"25",950,2021,"E09000026","Redbridge","Redbridge","Outer",2021,"2021",31.119560701276,"30.0 -"
"26",951,2021,"E09000027","Richmond upon Thames","Richmond upon Thames","Outer",2021,"2021",33.7909562735006,"32.1 -"
"27",952,2021,"E09000028","Southwark","Southwark","Inner",2021,"2021",34.0060523261872,"34.0+"
"28",953,2021,"E09000029","Sutton","Sutton","Outer",2021,"2021",31.3982700011307,"30.0 -"
"29",954,2021,"E09000030","Tower Hamlets","Tower Hamlets","Inner",2021,"2021",32.9327307535253,"32.1 -"
"30",955,2021,"E09000031","Waltham Forest","Waltham Forest","Outer",2021,"2021",32.0228553758665,"31.4 -"
"31",956,2021,"E09000032","Wandsworth","Wandsworth","Inner",2021,"2021",34.4975830660569,"34.0+"
"32",957,2021,"E09000033","Westminster","Westminster","Inner",2021,"2021",34.375699440202,"34.0+"
