"","Year","Inner","London_zone_TFR"
"1","1993",0,1.74237824835729
"2","1993",1,1.68800271324449
"3","1994",0,1.73856973266707
"4","1994",1,1.68572758663634
"5","1995",0,1.70850475461947
"6","1995",1,1.68273269368661
"7","1996",0,1.71941215537624
"8","1996",1,1.6956612183762
"9","1997",0,1.71936450648127
"10","1997",1,1.71067231107576
"11","1998",0,1.72750455337535
"12","1998",1,1.66932816118679
"13","1999",0,1.69071780568335
"14","1999",1,1.67178619320796
"15","2000",0,1.6599603687741
"16","2000",1,1.64462748270369
"17","2001",0,1.63669573694927
"18","2001",1,1.61586281151285
"19","2002",0,1.66689301840541
"20","2002",1,1.62545954931068
"21","2003",0,1.75683300830066
"22","2003",1,1.70129724321775
"23","2004",0,1.83000417180747
"24","2004",1,1.70912664517704
"25","2005",0,1.85063269536522
"26","2005",1,1.6967942402407
"27","2006",0,1.91446889847862
"28","2006",1,1.73229063498507
"29","2007",0,1.9939169056183
"30","2007",1,1.73899312598659
"31","2008",0,2.00018361124133
"32","2008",1,1.72332001405931
"33","2009",0,2.00045530865443
"34","2009",1,1.70267524313105
"35","2010",0,2.02779840605313
"36","2010",1,1.71841496520248
"37","2011",0,2.00205002419904
"38","2011",1,1.6611301638193
"39","2012",0,1.99070881448765
"40","2012",1,1.63090257003545
"41","2013",0,1.86891011664461
"42","2013",1,1.52523220896742
"43","2014",0,1.82721197506971
"44","2014",1,1.47250232885757
"45","2015",0,1.83846522610914
"46","2015",1,1.46322080554481
"47","2016",0,1.82049003025996
"48","2016",1,1.42899271703808
"49","2017",0,1.78775073972826
"50","2017",1,1.39887789040629
"51","2018",0,1.69844135232493
"52","2018",1,1.3411897302853
"53","2019",0,1.68137161219736
"54","2019",1,1.29682610009874
"55","2020",0,1.60816250337776
"56","2020",1,1.2235213575704
"57","2021",0,1.6223020470192
"58","2021",1,1.26221337248765
