"","agegroups","year","year_numeric","Inner","sum_value","indexed_pop","label","highlight_flag"
"1","0-10","2011",2011,0,734187,100,NA,TRUE
"2","0-10","2011",2011,1,437346,100,NA,TRUE
"3","0-10","2012",2012,0,760552,103.591046967598,NA,TRUE
"4","0-10","2012",2012,1,447534,102.329505700292,NA,TRUE
"5","0-10","2013",2013,0,782984,106.646399350574,NA,TRUE
"6","0-10","2013",2013,1,455995,104.264129545028,NA,TRUE
"7","0-10","2014",2014,0,799671,108.919253541673,NA,TRUE
"8","0-10","2014",2014,1,458051,104.734237880305,NA,TRUE
"9","0-10","2015",2015,0,811440,110.522251143101,NA,TRUE
"10","0-10","2015",2015,1,459036,104.95946001564,NA,TRUE
"11","0-10","2016",2016,0,818338,111.461793793679,NA,TRUE
"12","0-10","2016",2016,1,457940,104.708857517846,NA,TRUE
"13","0-10","2017",2017,0,816210,111.171949380744,NA,TRUE
"14","0-10","2017",2017,1,452926,103.562396820824,NA,TRUE
"15","0-10","2018",2018,0,809401,110.244528982398,NA,TRUE
"16","0-10","2018",2018,1,446195,102.023340787386,NA,TRUE
"17","0-10","2019",2019,0,798435,108.750904061227,NA,TRUE
"18","0-10","2019",2019,1,435883,99.6654822497519,NA,TRUE
"19","0-10","2020",2020,0,784602,106.866779172064,NA,TRUE
"20","0-10","2020",2020,1,423760,96.8935350957823,NA,TRUE
"21","0-10","2021",2021,0,759613,103.463150396289,NA,TRUE
"22","0-10","2021",2021,1,404329,92.4505997539705,NA,TRUE
"23","0-10","2022",2022,0,758286,103.282406253448,"0-10",TRUE
"24","0-10","2022",2022,1,399195,91.2767008272626,"0-10",TRUE
"25","11-17","2011",2011,0,424127,100,NA,FALSE
"26","11-17","2011",2011,1,220514,100,NA,FALSE
"27","11-17","2012",2012,0,419849,98.9913398581085,NA,FALSE
"28","11-17","2012",2012,1,219812,99.6816528655777,NA,FALSE
"29","11-17","2013",2013,0,416210,98.1333421357282,NA,FALSE
"30","11-17","2013",2013,1,219176,99.3932358036224,NA,FALSE
"31","11-17","2014",2014,0,416336,98.1630502184487,NA,FALSE
"32","11-17","2014",2014,1,219800,99.67621103422,NA,FALSE
"33","11-17","2015",2015,0,419533,98.916833872873,NA,FALSE
"34","11-17","2015",2015,1,221766,100.567764404981,NA,FALSE
"35","11-17","2016",2016,0,426309,100.51446854362,NA,FALSE
"36","11-17","2016",2016,1,225118,102.08784929755,NA,FALSE
"37","11-17","2017",2017,0,433588,102.230699766815,NA,FALSE
"38","11-17","2017",2017,1,228914,103.809281950352,NA,FALSE
"39","11-17","2018",2018,0,445217,104.97256717917,NA,FALSE
"40","11-17","2018",2018,1,235546,106.816800747345,NA,FALSE
"41","11-17","2019",2019,0,460947,108.681361950548,NA,FALSE
"42","11-17","2019",2019,1,242010,109.74813390533,NA,FALSE
"43","11-17","2020",2020,0,472948,111.510938940459,NA,FALSE
"44","11-17","2020",2020,1,245640,111.394287891018,NA,FALSE
"45","11-17","2021",2021,0,481560,113.541462816562,NA,FALSE
"46","11-17","2021",2021,1,248597,112.735245834732,NA,FALSE
"47","11-17","2022",2022,0,491086,115.787488181606,"11-17",FALSE
"48","11-17","2022",2022,1,248295,112.598293078897,"11-17",FALSE
"49","18-24","2011",2011,0,455575,100,NA,FALSE
"50","18-24","2011",2011,1,360340,100,NA,FALSE
"51","18-24","2012",2012,0,457475,100.417055369588,NA,FALSE
"52","18-24","2012",2012,1,359108,99.6581006826886,NA,FALSE
"53","18-24","2013",2013,0,458483,100.638314218296,NA,FALSE
"54","18-24","2013",2013,1,364298,101.098407059999,NA,FALSE
"55","18-24","2014",2014,0,458089,100.551830104813,NA,FALSE
"56","18-24","2014",2014,1,366723,101.771382583116,NA,FALSE
"57","18-24","2015",2015,0,459518,100.865499643308,NA,FALSE
"58","18-24","2015",2015,1,377324,104.713326302936,NA,FALSE
"59","18-24","2016",2016,0,456310,100.161334577183,NA,FALSE
"60","18-24","2016",2016,1,379291,105.25919964478,NA,FALSE
"61","18-24","2017",2017,0,446832,98.0808867914174,NA,FALSE
"62","18-24","2017",2017,1,374879,104.034800466226,NA,FALSE
"63","18-24","2018",2018,0,442571,97.1455852494101,NA,FALSE
"64","18-24","2018",2018,1,373806,103.737026141977,NA,FALSE
"65","18-24","2019",2019,0,441402,96.8889864457005,NA,FALSE
"66","18-24","2019",2019,1,371593,103.122883942943,NA,FALSE
"67","18-24","2020",2020,0,428185,93.9878175931515,NA,FALSE
"68","18-24","2020",2020,1,352639,97.8628517511239,NA,FALSE
"69","18-24","2021",2021,0,426367,93.5887614553037,NA,FALSE
"70","18-24","2021",2021,1,352244,97.7532330576678,NA,FALSE
"71","18-24","2022",2022,0,425692,93.440597047687,"18-24",FALSE
"72","18-24","2022",2022,1,379207,105.235888327691,"18-24",FALSE
"73","25-39","2011",2011,0,1213090,100,NA,TRUE
"74","25-39","2011",2011,1,1095677,100,NA,TRUE
"75","25-39","2012",2012,0,1227845,101.216315359949,NA,TRUE
"76","25-39","2012",2012,1,1102962,100.664885728184,NA,TRUE
"77","25-39","2013",2013,0,1244127,102.55850761279,NA,TRUE
"78","25-39","2013",2013,1,1109589,101.269717261565,NA,TRUE
"79","25-39","2014",2014,0,1262575,104.079252157713,NA,TRUE
"80","25-39","2014",2014,1,1114303,101.699953544703,NA,TRUE
"81","25-39","2015",2015,0,1279761,105.495964850094,NA,TRUE
"82","25-39","2015",2015,1,1118561,102.088571723236,NA,TRUE
"83","25-39","2016",2016,0,1289721,106.317008630852,NA,TRUE
"84","25-39","2016",2016,1,1120819,102.294654355253,NA,TRUE
"85","25-39","2017",2017,0,1288309,106.20061166113,NA,TRUE
"86","25-39","2017",2017,1,1111878,101.478629194553,NA,TRUE
"87","25-39","2018",2018,0,1287786,106.157498619229,NA,TRUE
"88","25-39","2018",2018,1,1112793,101.562139207084,NA,TRUE
"89","25-39","2019",2019,0,1286229,106.029148702899,NA,TRUE
"90","25-39","2019",2019,1,1116131,101.866791034219,NA,TRUE
"91","25-39","2020",2020,0,1270163,104.704762218797,NA,TRUE
