"","region_code","region_name","new_la_code","la_name","age","type","time_period","period_start","full_time","period2","indexed_headcount","indexed_hc_Cat5"
"1","E12000001","North East","E06000001","Hartlepool",4,"State-funded",202223,2022,1033,"2022-23",86.8067226890756,"83 - "
"2","E12000001","North East","E06000001","Hartlepool",5,"State-funded",202223,2022,1041,"2022-23",87.4789915966387,"83 - "
"3","E12000001","North East","E06000001","Hartlepool",6,"State-funded",202223,2022,1099,"2022-23",92.3529411764706,"90 - "
"4","E12000001","North East","E06000001","Hartlepool",7,"State-funded",202223,2022,1091,"2022-23",91.6806722689076,"90 - "
"5","E12000001","North East","E06000001","Hartlepool",8,"State-funded",202223,2022,1133,"2022-23",95.2100840336134,"90 - "
"6","E12000001","North East","E06000001","Hartlepool",9,"State-funded",202223,2022,1108,"2022-23",93.109243697479,"90 - "
"7","E12000001","North East","E06000001","Hartlepool",10,"State-funded",202223,2022,1203,"2022-23",101.09243697479,"96 - "
"8","E12000001","North East","E06000002","Middlesbrough",4,"State-funded",202223,2022,1939,"2022-23",98.9285714285714,"96 - "
"9","E12000001","North East","E06000002","Middlesbrough",5,"State-funded",202223,2022,2000,"2022-23",102.040816326531,"96 - "
"10","E12000001","North East","E06000002","Middlesbrough",6,"State-funded",202223,2022,2008,"2022-23",102.448979591837,"96 - "
"11","E12000001","North East","E06000002","Middlesbrough",7,"State-funded",202223,2022,2013,"2022-23",102.704081632653,"96 - "
"12","E12000001","North East","E06000002","Middlesbrough",8,"State-funded",202223,2022,2045,"2022-23",104.336734693878,"103 - "
"13","E12000001","North East","E06000002","Middlesbrough",9,"State-funded",202223,2022,2084,"2022-23",106.326530612245,"103 - "
"14","E12000001","North East","E06000002","Middlesbrough",10,"State-funded",202223,2022,2053,"2022-23",104.744897959184,"103 - "
"15","E12000001","North East","E06000003","Redcar and Cleveland",4,"State-funded",202223,2022,1366,"2022-23",79.557367501456,"76 -"
"16","E12000001","North East","E06000003","Redcar and Cleveland",5,"State-funded",202223,2022,1562,"2022-23",90.9726266744321,"90 - "
"17","E12000001","North East","E06000003","Redcar and Cleveland",6,"State-funded",202223,2022,1486,"2022-23",86.5463016889924,"83 - "
"18","E12000001","North East","E06000003","Redcar and Cleveland",7,"State-funded",202223,2022,1518,"2022-23",88.4100174723355,"83 - "
"19","E12000001","North East","E06000003","Redcar and Cleveland",8,"State-funded",202223,2022,1605,"2022-23",93.4769947582994,"90 - "
"20","E12000001","North East","E06000003","Redcar and Cleveland",9,"State-funded",202223,2022,1659,"2022-23",96.6220151426907,"96 - "
"21","E12000001","North East","E06000003","Redcar and Cleveland",10,"State-funded",202223,2022,1758,"2022-23",102.387885847408,"96 - "
"22","E12000001","North East","E06000004","Stockton-on-Tees",4,"State-funded",202223,2022,2036,"2022-23",80.5698456667986,"76 -"
"23","E12000001","North East","E06000004","Stockton-on-Tees",5,"State-funded",202223,2022,2333,"2022-23",92.3229125445192,"90 - "
"24","E12000001","North East","E06000004","Stockton-on-Tees",6,"State-funded",202223,2022,2410,"2022-23",95.3700039572616,"90 - "
