"","Month","New_date","Region","Price","New_region","Final_date","highlight_flag","Region_factor","label"
"1","Jan-15","01/01/2015","North.East",531,"North East",2015-01-01,FALSE,"North East",NA
"2","Jan-15","01/01/2015","North.West",592,"North West",2015-01-01,FALSE,"North West",NA
"3","Jan-15","01/01/2015","Yorkshire.and.the.Humber",585,"Yorkshire and the Humber",2015-01-01,FALSE,"Yorkshire and the Humber",NA
"4","Jan-15","01/01/2015","East.Midlands",564,"East Midlands",2015-01-01,FALSE,"East Midlands",NA
"5","Jan-15","01/01/2015","West.Midlands",613,"West Midlands",2015-01-01,FALSE,"West Midlands",NA
"6","Jan-15","01/01/2015","East",800,"East",2015-01-01,TRUE,"East",NA
"7","Jan-15","01/01/2015","London",1576,"London",2015-01-01,TRUE,"London",NA
"8","Jan-15","01/01/2015","South.East",932,"South East",2015-01-01,TRUE,"South East",NA
"9","Jan-15","01/01/2015","South.West",779,"South West",2015-01-01,FALSE,"South West",NA
"10","Feb-15","01/02/2015","North.East",531,"North East",2015-02-01,FALSE,"North East",NA
"11","Feb-15","01/02/2015","North.West",593,"North West",2015-02-01,FALSE,"North West",NA
"12","Feb-15","01/02/2015","Yorkshire.and.the.Humber",584,"Yorkshire and the Humber",2015-02-01,FALSE,"Yorkshire and the Humber",NA
"13","Feb-15","01/02/2015","East.Midlands",565,"East Midlands",2015-02-01,FALSE,"East Midlands",NA
"14","Feb-15","01/02/2015","West.Midlands",615,"West Midlands",2015-02-01,FALSE,"West Midlands",NA
"15","Feb-15","01/02/2015","East",805,"East",2015-02-01,TRUE,"East",NA
"16","Feb-15","01/02/2015","London",1581,"London",2015-02-01,TRUE,"London",NA
"17","Feb-15","01/02/2015","South.East",932,"South East",2015-02-01,TRUE,"South East",NA
"18","Feb-15","01/02/2015","South.West",780,"South West",2015-02-01,FALSE,"South West",NA
"19","Mar-15","01/03/2015","North.East",532,"North East",2015-03-01,FALSE,"North East",NA
"20","Mar-15","01/03/2015","North.West",594,"North West",2015-03-01,FALSE,"North West",NA
"21","Mar-15","01/03/2015","Yorkshire.and.the.Humber",585,"Yorkshire and the Humber",2015-03-01,FALSE,"Yorkshire and the Humber",NA
