"","Period","Date","Source","Component","Region","Value","date","indexed_Intin","Estimates","Estimates_factor","label"
"1","Jun-12","30/06/2012","Estimates","Immigration","EU",327000,2012-06-30,100,1,"1",NA
"2","Sep-12","30/09/2012","Estimates","Immigration","EU",322000,2012-09-30,98.4709480122324,1,"1",NA
"3","Dec-12","31/12/2012","Estimates","Immigration","EU",334000,2012-12-31,102.140672782875,1,"1",NA
"4","Mar-13","31/03/2013","Estimates","Immigration","EU",350000,2013-03-31,107.033639143731,1,"1",NA
"5","Jun-13","30/06/2013","Estimates","Immigration","EU",373000,2013-06-30,114.067278287462,1,"1",NA
"6","Sep-13","30/09/2013","Estimates","Immigration","EU",410000,2013-09-30,125.382262996942,1,"1",NA
"7","Dec-13","31/12/2013","Estimates","Immigration","EU",402000,2013-12-31,122.935779816514,1,"1",NA
"8","Mar-14","31/03/2014","Estimates","Immigration","EU",414000,2014-03-31,126.605504587156,1,"1",NA
"9","Jun-14","30/06/2014","Estimates","Immigration","EU",420000,2014-06-30,128.440366972477,1,"1",NA
"10","Sep-14","30/09/2014","Estimates","Immigration","EU",441000,2014-09-30,134.862385321101,1,"1",NA
"11","Dec-14","31/12/2014","Estimates","Immigration","EU",457000,2014-12-31,139.755351681957,1,"1",NA
"12","Mar-15","31/03/2015","Estimates","Immigration","EU",457000,2015-03-31,139.755351681957,1,"1",NA
"13","Jun-15","30/06/2015","Estimates","Immigration","EU",454000,2015-06-30,138.837920489297,1,"1",NA
"14","Sep-15","30/09/2015","Estimates","Immigration","EU",453000,2015-09-30,138.532110091743,1,"1",NA
"15","Dec-15","31/12/2015","Estimates","Immigration","EU",481000,2015-12-31,147.094801223242,1,"1",NA
"16","Mar-16","31/03/2016","Estimates","Immigration","EU",490000,2016-03-31,149.847094801223,1,"1",NA
"17","Jun-16","30/06/2016","Estimates","Immigration","EU",521000,2016-06-30,159.327217125382,1,"1",NA
"18","Sep-16","30/09/2016","Estimates","Immigration","EU",496000,2016-09-30,151.681957186544,1,"1",NA
"19","Dec-16","31/12/2016","Estimates","Immigration","EU",465000,2016-12-31,142.201834862385,1,"1",NA
"20","Mar-17","31/03/2017","Estimates","Immigration","EU",447000,2017-03-31,136.697247706422,1,"1",NA
"21","Jun-17","30/06/2017","Estimates","Immigration","EU",399000,2017-06-30,122.018348623853,1,"1",NA
"22","Sep-17","30/09/2017","Estimates","Immigration","EU",425000,2017-09-30,129.969418960245,1,"1",NA
"23","Dec-17","31/12/2017","Estimates","Immigration","EU",411000,2017-12-31,125.688073394495,1,"1",NA
"24","Mar-18","31/03/2018","Estimates","Immigration","EU",399000,2018-03-31,122.018348623853,1,"1",NA
"25","Jun-18","30/06/2018","Estimates","Immigration","EU",407000,2018-06-30,124.464831804281,1,"1",NA
"26","Sep-18","30/09/2018","Estimates","Immigration","EU",397000,2018-09-30,121.406727828746,1,"1",NA
"27","Dec-18","31/12/2018","Estimates","Immigration","EU",421000,2018-12-31,128.746177370031,1,"1",NA
"28","Mar-19","31/03/2019","Estimates","Immigration","EU",429000,2019-03-31,131.192660550459,1,"1",NA
"29","Jun-19","30/06/2019","Estimates","Immigration","EU",413000,2019-06-30,126.299694189602,1,"1",NA
"30","Sep-19","30/09/2019","Estimates","Immigration","EU",376000,2019-09-30,114.984709480122,1,"1",NA
"31","Dec-19","31/12/2019","Estimates","Immigration","EU",349000,2019-12-31,106.727828746177,1,"1",NA
"32","Mar-20","31/03/2020","Estimates","Immigration","EU",347000,2020-03-31,106.11620795107,1,"1",NA
"33","Jun-20","30/06/2020","Estimates","Immigration","EU",333000,2020-06-30,101.834862385321,1,"1",NA
"34","Sep-20","30/09/2020","Estimates","Immigration","EU",293000,2020-09-30,89.6024464831804,1,"1",NA
"35","Dec-20","31/12/2020","Estimates","Immigration","EU",316000,2020-12-31,96.6360856269113,1,"1",NA
"36","Mar-21","31/03/2021","Estimates","Immigration","EU",287000,2021-03-31,87.7675840978593,1,"1",NA
"37","Jun-21","30/06/2021","Estimates","Immigration","EU",279000,2021-06-30,85.3211009174312,1,"1",NA
"38","Sep-21","30/09/2021","Estimates","Immigration","EU",249000,2021-09-30,76.1467889908257,1,"1",NA
"39","Dec-21","31/12/2021","Estimates","Immigration","EU",172000,2021-12-31,52.5993883792049,1,"1",NA
"40","Mar-22","31/03/2022","Estimates","Immigration","EU",138000,2022-03-31,42.2018348623853,1,"1",NA
"41","Jun-22","30/06/2022","Estimates","Immigration","EU",121000,2022-06-30,37.0030581039755,1,"1",NA
"42","Sep-22","30/09/2022","Estimates","Immigration","EU",114000,2022-09-30,34.8623853211009,1,"1",NA
"43","Dec-22","31/12/2022","Estimates","Immigration","EU",116000,2022-12-31,35.474006116208,1,"1",NA
"44","Mar-23","31/03/2023","Estimates","Immigration","EU",128000,2023-03-31,39.1437308868502,1,"1",NA
"45","Jun-23","30/06/2023","Estimates","Immigration","EU",129000,2023-06-30,39.4495412844037,1,"1","Immigration"
