"","Period","Date","Source","Component","Region","Value","date","indexed_Intnet","Estimates","Estimates_factor","label"
"1","Jun-12","30/06/2012","Estimates","Net migration","EU",187000,2012-06-30,100,1,"1",NA
"2","Sep-12","30/09/2012","Estimates","Net migration","EU",183000,2012-09-30,97.8609625668449,1,"1",NA
"3","Dec-12","31/12/2012","Estimates","Net migration","EU",206000,2012-12-31,110.160427807487,1,"1",NA
"4","Mar-13","31/03/2013","Estimates","Net migration","EU",223000,2013-03-31,119.251336898396,1,"1",NA
"5","Jun-13","30/06/2013","Estimates","Net migration","EU",242000,2013-06-30,129.411764705882,1,"1",NA
"6","Sep-13","30/09/2013","Estimates","Net migration","EU",275000,2013-09-30,147.058823529412,1,"1",NA
"7","Dec-13","31/12/2013","Estimates","Net migration","EU",262000,2013-12-31,140.106951871658,1,"1",NA
"8","Mar-14","31/03/2014","Estimates","Net migration","EU",263000,2014-03-31,140.641711229947,1,"1",NA
"9","Jun-14","30/06/2014","Estimates","Net migration","EU",258000,2014-06-30,137.967914438503,1,"1",NA
"10","Sep-14","30/09/2014","Estimates","Net migration","EU",270000,2014-09-30,144.385026737968,1,"1",NA
"11","Dec-14","31/12/2014","Estimates","Net migration","EU",277000,2014-12-31,148.128342245989,1,"1",NA
"12","Mar-15","31/03/2015","Estimates","Net migration","EU",275000,2015-03-31,147.058823529412,1,"1",NA
"13","Jun-15","30/06/2015","Estimates","Net migration","EU",267000,2015-06-30,142.780748663102,1,"1",NA
"14","Sep-15","30/09/2015","Estimates","Net migration","EU",262000,2015-09-30,140.106951871658,1,"1",NA
"15","Dec-15","31/12/2015","Estimates","Net migration","EU",287000,2015-12-31,153.475935828877,1,"1",NA
"16","Mar-16","31/03/2016","Estimates","Net migration","EU",294000,2016-03-31,157.219251336898,1,"1",NA
"17","Jun-16","30/06/2016","Estimates","Net migration","EU",322000,2016-06-30,172.192513368984,1,"1",NA
"18","Sep-16","30/09/2016","Estimates","Net migration","EU",294000,2016-09-30,157.219251336898,1,"1",NA
"19","Dec-16","31/12/2016","Estimates","Net migration","EU",253000,2016-12-31,135.294117647059,1,"1",NA
"20","Mar-17","31/03/2017","Estimates","Net migration","EU",235000,2017-03-31,125.668449197861,1,"1",NA
"21","Jun-17","30/06/2017","Estimates","Net migration","EU",188000,2017-06-30,100.534759358289,1,"1",NA
"22","Sep-17","30/09/2017","Estimates","Net migration","EU",192000,2017-09-30,102.673796791444,1,"1",NA
"23","Dec-17","31/12/2017","Estimates","Net migration","EU",176000,2017-12-31,94.1176470588235,1,"1",NA
"24","Mar-18","31/03/2018","Estimates","Net migration","EU",160000,2018-03-31,85.5614973262032,1,"1",NA
"25","Jun-18","30/06/2018","Estimates","Net migration","EU",158000,2018-06-30,84.4919786096257,1,"1",NA
"26","Sep-18","30/09/2018","Estimates","Net migration","EU",138000,2018-09-30,73.7967914438503,1,"1",NA
"27","Dec-18","31/12/2018","Estimates","Net migration","EU",170000,2018-12-31,90.9090909090909,1,"1",NA
"28","Mar-19","31/03/2019","Estimates","Net migration","EU",155000,2019-03-31,82.8877005347594,1,"1",NA
"29","Jun-19","30/06/2019","Estimates","Net migration","EU",126000,2019-06-30,67.379679144385,1,"1",NA
"30","Sep-19","30/09/2019","Estimates","Net migration","EU",114000,2019-09-30,60.9625668449198,1,"1",NA
"31","Dec-19","31/12/2019","Estimates","Net migration","EU",80000,2019-12-31,42.7807486631016,1,"1",NA
"32","Mar-20","31/03/2020","Estimates","Net migration","EU",81000,2020-03-31,43.3155080213904,1,"1",NA
"33","Jun-20","30/06/2020","Estimates","Net migration","EU",70000,2020-06-30,37.4331550802139,1,"1",NA
"34","Sep-20","30/09/2020","Estimates","Net migration","EU",45000,2020-09-30,24.0641711229947,1,"1",NA
"35","Dec-20","31/12/2020","Estimates","Net migration","EU",70000,2020-12-31,37.4331550802139,1,"1",NA
"36","Mar-21","31/03/2021","Estimates","Net migration","EU",61000,2021-03-31,32.620320855615,1,"1",NA
"37","Jun-21","30/06/2021","Estimates","Net migration","EU",68000,2021-06-30,36.3636363636364,1,"1",NA
"38","Sep-21","30/09/2021","Estimates","Net migration","EU",16000,2021-09-30,8.55614973262032,1,"1",NA
"39","Dec-21","31/12/2021","Estimates","Net migration","EU",-62000,2021-12-31,-33.1550802139037,1,"1",NA
"40","Mar-22","31/03/2022","Estimates","Net migration","EU",-106000,2022-03-31,-56.6844919786096,1,"1",NA
"41","Jun-22","30/06/2022","Estimates","Net migration","EU",-133000,2022-06-30,-71.1229946524064,1,"1",NA
"42","Sep-22","30/09/2022","Estimates","Net migration","EU",-135000,2022-09-30,-72.192513368984,1,"1",NA
"43","Dec-22","31/12/2022","Estimates","Net migration","EU",-123000,2022-12-31,-65.7754010695187,1,"1",NA
"44","Mar-23","31/03/2023","Estimates","Net migration","EU",-102000,2023-03-31,-54.5454545454545,1,"1",NA
"45","Jun-23","30/06/2023","Estimates","Net migration","EU",-86000,2023-06-30,-45.9893048128342,1,"1","Net migration"
