"","ladcode21","laname21","Sum2021ten","Sum2011zero","Change_2011to2021","Perc_Cat"
"1","E06000001","Hartlepool",1209,1156,4.58477508650519," -5.0 -"
"2","E06000002","Middlesbrough",2061,2022,1.92878338278932," -5.0 -"
"3","E06000003","Redcar and Cleveland",1697,1632,3.9828431372549," -5.0 -"
"4","E06000004","Stockton-on-Tees",2732,2511,8.80127439267224,"  5.0 -"
"5","E06000005","Darlington",1320,1332,-0.900900900900901," -5.0 -"
"6","E06000006","Halton",1595,1650,-3.33333333333333," -5.0 -"
"7","E06000007","Warrington",2595,2457,5.61660561660562,"  5.0 -"
"8","E06000008","Blackburn with Darwen",2369,2184,8.47069597069597,"  5.0 -"
"9","E06000009","Blackpool",1531,1617,-5.31849103277675,"-16.0 -"
"10","E06000010","Kingston upon Hull, City of",3510,3664,-4.20305676855895," -5.0 -"
"11","E06000011","East Riding of Yorkshire",3705,3126,18.5220729366603," 16.0 -"
"12","E06000012","North East Lincolnshire",1978,2017,-1.93356470004958," -5.0 -"
"13","E06000013","North Lincolnshire",2028,1949,4.05336069779374," -5.0 -"
"14","E06000014","York",2106,2151,-2.09205020920502," -5.0 -"
"15","E06000015","Derby",3428,3505,-2.19686162624822," -5.0 -"
"16","E06000016","Leicester",5132,5151,-0.36886041545331," -5.0 -"
"17","E06000017","Rutland",414,365,13.4246575342466,"  5.0 -"
"18","E06000018","Nottingham",3943,4227,-6.71871303524959,"-16.0 -"
"19","E06000019","Herefordshire, County of",2075,1952,6.30122950819672,"  5.0 -"
"20","E06000020","Telford and Wrekin",2484,2336,6.33561643835616,"  5.0 -"
"21","E06000021","Stoke-on-Trent",3560,3651,-2.49246781703643," -5.0 -"
"22","E06000022","Bath and North East Somerset",2145,1883,13.9139670738184,"  5.0 -"
"23","E06000023","Bristol, City of",5310,6468,-17.9035250463822,"-28.0 -"
"24","E06000024","North Somerset",2645,2367,11.7448246725813,"  5.0 -"
"25","E06000025","South Gloucestershire",3424,3109,10.1318752010293,"  5.0 -"
"26","E06000026","Plymouth",3111,3271,-4.89147049831856," -5.0 -"
"27","E06000027","Torbay",1529,1390,10,"  5.0 -"
"28","E06000030","Swindon",3105,2949,5.28992878942014,"  5.0 -"
"29","E06000031","Peterborough",3194,2902,10.0620261888353,"  5.0 -"
"30","E06000032","Luton",3410,3496,-2.45995423340961," -5.0 -"
"31","E06000033","Southend-on-Sea",2192,2217,-1.127649977447," -5.0 -"
"32","E06000034","Thurrock",2553,2462,3.6961819658814," -5.0 -"
"33","E06000035","Medway",3753,3496,7.3512585812357,"  5.0 -"
"34","E06000036","Bracknell Forest",1576,1565,0.702875399361022," -5.0 -"
"35","E06000037","West Berkshire",2099,2059,1.94269062651773," -5.0 -"
"36","E06000038","Reading",2052,2599,-21.0465563678338,"-28.0 -"
"37","E06000039","Slough",2655,2673,-0.673400673400673," -5.0 -"
"38","E06000040","Windsor and Maidenhead",1954,1788,9.2841163310962,"  5.0 -"
"39","E06000041","Wokingham",2621,1949,34.4792201128784," 28.0+"
"40","E06000042","Milton Keynes",4290,4104,4.53216374269006," -5.0 -"
"41","E06000043","Brighton and Hove",2728,3133,-12.9269071177785,"-16.0 -"
"42","E06000044","Portsmouth",2390,2819,-15.2181624689606,"-16.0 -"
"43","E06000045","Southampton",3013,3470,-13.1700288184438,"-16.0 -"
"44","E06000046","Isle of Wight",1403,1287,9.01320901320901,"  5.0 -"
"45","E06000047","County Durham",5948,5899,0.830649262586879," -5.0 -"
"46","E06000049","Cheshire East",4658,4038,15.3541357107479,"  5.0 -"
"47","E06000050","Cheshire West and Chester",4134,3615,14.356846473029,"  5.0 -"
"48","E06000051","Shropshire",3360,3036,10.6719367588933,"  5.0 -"
"49","E06000052","Cornwall",6470,5707,13.3695461713685,"  5.0 -"
"50","E06000053","Isles of Scilly",18,16,12.5,"  5.0 -"
"51","E06000054","Wiltshire",6262,5663,10.5774324562953,"  5.0 -"
"52","E06000055","Bedford",2356,1961,20.1427842937277," 16.0 -"
"53","E06000056","Central Bedfordshire",3771,3271,15.2858453072455,"  5.0 -"
"54","E06000057","Northumberland",3579,3099,15.4888673765731,"  5.0 -"
"55","E06000058","Bournemouth, Christchurch and Poole",4416,4332,1.93905817174515," -5.0 -"
"56","E06000059","Dorset",3937,3257,20.8781086889776," 16.0 -"
"57","E06000060","Buckinghamshire",7535,6299,19.6221622479759," 16.0 -"
"58","E06000061","North Northamptonshire",4738,4234,11.9036372224846,"  5.0 -"
"59","E06000062","West Northamptonshire",5375,4982,7.88839823364111,"  5.0 -"
"60","E07000008","Cambridge",1337,1413,-5.37862703467799,"-16.0 -"
"61","E07000009","East Cambridgeshire",1150,1163,-1.11779879621668," -5.0 -"
"62","E07000010","Fenland",1140,1080,5.55555555555556,"  5.0 -"
"63","E07000011","Huntingdonshire",2087,1965,6.20865139949109,"  5.0 -"
"64","E07000012","South Cambridgeshire",2205,1837,20.0326619488296," 16.0 -"
"65","E07000026","Allerdale",1108,990,11.9191919191919,"  5.0 -"
"66","E07000027","Barrow-in-Furness",726,718,1.1142061281337," -5.0 -"
"67","E07000028","Carlisle",1237,1252,-1.19808306709265," -5.0 -"
"68","E07000029","Copeland",766,748,2.40641711229947," -5.0 -"
"69","E07000030","Eden",562,451,24.6119733924612," 16.0 -"
"70","E07000031","South Lakeland",961,854,12.5292740046838,"  5.0 -"
"71","E07000032","Amber Valley",1472,1296,13.5802469135802,"  5.0 -"
"72","E07000033","Bolsover",939,899,4.44938820912125," -5.0 -"
"73","E07000034","Chesterfield",1230,1203,2.24438902743142," -5.0 -"
"74","E07000035","Derbyshire Dales",759,559,35.778175313059," 28.0+"
"75","E07000036","Erewash",1345,1347,-0.148478099480327," -5.0 -"
"76","E07000037","High Peak",1032,999,3.3033033033033," -5.0 -"
"77","E07000038","North East Derbyshire",1141,948,20.3586497890295," 16.0 -"
"78","E07000039","South Derbyshire",1345,1099,22.3839854413103," 16.0 -"
"79","E07000040","East Devon",1613,1181,36.5791701947502," 28.0+"
"80","E07000041","Exeter",1228,1452,-15.4269972451791,"-16.0 -"
"81","E07000042","Mid Devon",999,882,13.265306122449,"  5.0 -"
"82","E07000043","North Devon",1199,1066,12.4765478424015,"  5.0 -"
"83","E07000044","South Hams",989,746,32.573726541555," 28.0+"
"84","E07000045","Teignbridge",1432,1143,25.2843394575678," 16.0 -"
"85","E07000046","Torridge",715,611,17.0212765957447," 16.0 -"
"86","E07000047","West Devon",580,475,22.1052631578947," 16.0 -"
"87","E07000061","Eastbourne",1159,1112,4.22661870503597," -5.0 -"
"88","E07000062","Hastings",1095,1158,-5.44041450777202,"-16.0 -"
"89","E07000063","Lewes",1167,952,22.5840336134454," 16.0 -"
"90","E07000064","Rother",982,821,19.6102314250914," 16.0 -"
