"","lad22cd","lad22nm","sum_value21","sum_value11","sum_value01","changePerc","Perc_Cat"
"1","E09000001","City of London",431,431,450,0,"- 2.0 -"
"2","E09000002","Barking and Dagenham",33576,29022,22720,15.6915443456688," 12.0+"
"3","E09000003","Barnet",49544,45406,39051,9.11333303968638,"  7.0 -"
"4","E09000004","Bexley",32523,30659,27884,6.07978081476891,"  2.0 -"
"5","E09000005","Brent",40113,38099,32830,5.28622798498648,"  2.0 -"
"6","E09000006","Bromley",43273,39669,36609,9.08517986336938,"  7.0 -"
"7","E09000007","Camden",21067,21524,19549,-2.12321129901505,"- 5.0 -"
"8","E09000008","Croydon",51707,50958,44684,1.46983790572628,"- 2.0 -"
"9","E09000009","Ealing",45667,42226,36523,8.14900772036186,"  7.0 -"
"10","E09000010","Enfield",45402,44024,35870,3.13011084862802,"  2.0 -"
"11","E09000011","Greenwich",36841,33923,27708,8.60183356424844,"  7.0 -"
"12","E09000012","Hackney",28797,29075,25582,-0.956147893379192,"- 2.0 -"
"13","E09000013","Hammersmith and Fulham",18532,18420,16135,0.608034744842562,"- 2.0 -"
"14","E09000014","Haringey",31282,31934,26626,-2.04171102899731,"- 5.0 -"
"15","E09000015","Harrow",32326,30780,26100,5.0227420402859,"  2.0 -"
"16","E09000016","Havering",33717,29227,27137,15.3625072706744," 12.0+"
"17","E09000017","Hillingdon",40166,35898,30770,11.8892417404869,"  7.0 -"
"18","E09000018","Hounslow",37738,32880,26708,14.7749391727494," 12.0+"
"19","E09000019","Islington",21216,20848,19335,1.76515732924021,"- 2.0 -"
"20","E09000020","Kensington and Chelsea",13624,15236,15030,-10.580204778157,"-20.0 -"
"21","E09000021","Kingston upon Thames",21628,19657,17370,10.02696240525,"  7.0 -"
"22","E09000022","Lambeth",31839,34720,30838,-8.29781105990783,"-10.0 -"
"23","E09000023","Lewisham",37378,36740,32465,1.73652694610778,"- 2.0 -"
"24","E09000024","Merton",27427,24926,22477,10.0336997512637,"  7.0 -"
"25","E09000025","Newham",44361,40121,34270,10.5680317040951,"  7.0 -"
"26","E09000026","Redbridge",42076,38354,30667,9.7043333159514,"  7.0 -"
"27","E09000027","Richmond upon Thames",26212,23566,20108,11.2280403971824,"  7.0 -"
"28","E09000028","Southwark",32935,33975,29594,-3.06107431935246,"- 5.0 -"
"29","E09000029","Sutton",29025,25325,22853,14.6100691016782," 12.0+"
"30","E09000030","Tower Hamlets",32667,27128,22077,20.4180182836921," 12.0+"
"31","E09000031","Waltham Forest",35659,33797,27950,5.50936473651508,"  2.0 -"
"32","E09000032","Wandsworth",34261,31592,25636,8.44834135224107,"  7.0 -"
"33","E09000033","Westminster",18078,20019,15197,-9.69578900044957,"-10.0 -"
