"","period_start","cityORcounty_name","period2","agg_full_time"
"1",2009,"Inner London","2009-10",207805
"2",2009,"Outer London","2009-10",376132
"3",2010,"Inner London","2010-11",212459
"4",2010,"Outer London","2010-11",385748
"5",2011,"Inner London","2011-12",217985
"6",2011,"Outer London","2011-12",398857
"7",2012,"Inner London","2012-13",224081
"8",2012,"Outer London","2012-13",414461
"9",2013,"Inner London","2013-14",229802
"10",2013,"Outer London","2013-14",429512
"11",2014,"Inner London","2014-15",235110
"12",2014,"Outer London","2014-15",443757
"13",2015,"Inner London","2015-16",239028
"14",2015,"Outer London","2015-16",457016
"15",2016,"Inner London","2016-17",240796
"16",2016,"Outer London","2016-17",465066
"17",2017,"Inner London","2017-18",240686
"18",2017,"Outer London","2017-18",468538
"19",2018,"Inner London","2018-19",238063
"20",2018,"Outer London","2018-19",468496
"21",2019,"Inner London","2019-20",234424
"22",2019,"Outer London","2019-20",466644
"23",2020,"Inner London","2020-21",228952
"24",2020,"Outer London","2020-21",459999
"25",2021,"Inner London","2021-22",223894
"26",2021,"Outer London","2021-22",456400
"27",2022,"Inner London","2022-23",219276
"28",2022,"Outer London","2022-23",456100
