"","Year","Total_births","Total_pop"
"1","1993",104365,1630634
"2","1994",104936,1639568
"3","1995",104129,1652975
"4","1996",105385,1672742
"5","1997",105578,1686259
"6","1998",105294,1700938
"7","1999",105540,1732939
"8","2000",104681,1760466
"9","2001",104164,1790435
"10","2002",105604,1804036
"11","2003",110437,1807378
"12","2004",113678,1823420
"13","2005",116022,1856323
"14","2006",120898,1878857
"15","2007",125508,1902638
"16","2008",127653,1929143
"17","2009",129249,1955069
"18","2010",133112,1971916
"19","2011",132845,1998388
"20","2012",134188,2025365
"21","2013",128331,2049399
"22","2014",127402,2076881
"23","2015",129613,2105762
"24","2016",128804,2120649
"25","2017",126308,2119767
"26","2018",120670,2130743
"27","2019",117891,2135648
"28","2020",111670,2132787
"29","2021",110956,2098916
